class_name,count
Fast food,5450
Snack,4730
Food,2548
Person,1038
Apple,942
Plant,853
Dessert,829
Cheese,374
Muffin,371
Cucumber,368
Toy,312
Baked goods,301
Bottle,272
Pasta,227
Waffle,215
Pastry,213
Radish,199
Pancake,179
Bagel,165
Candle,161
Popcorn,147
Human eye,145
Vegetable,140
Bread,137
Beer,129
Croissant,128
Dairy Product,126
Fruit,115
Pretzel,115
Shrimp,110
Boy,104
Flower,103
Human mouth,99
Human nose,98
Cake,91
Seafood,84
Mammal,80
Human head,75
Human hair,66
Doughnut,62
Watermelon,62
Drink,61
Laptop,53
Salad,49
Tree,49
French fries,46
Vase,44
Human face,43
Cookie,43
Christmas tree,42
Building,40
Sink,40
Hot dog,40
Chopsticks,39
Human body,39
Clothing,38
Animal,38
Human hand,37
Tart,33
Ice cream,32
Sushi,32
Candy,31
Zucchini,31
Home appliance,28
Sunglasses,28
Bicycle,28
Bird,27
Strawberry,27
Cat,27
Invertebrate,26
Clock,26
Coconut,26
Human arm,25
Book,25
Tomato,24
Tableware,22
Snowman,22
Pizza,20
Burrito,19
Lobster,19
Poster,19
Land vehicle,18
House,18
Dress,17
Winter melon,17
Footwear,17
Car,16
Convenience store,16
Ball,16
Hamburger,15
Woman,15
Shellfish,14
Carnivore,14
Chair,14
Bus,13
Dog,13
Grape,12
Squash (Plant),12
Submarine sandwich,12
Vehicle,12
Sandwich,12
Billboard,11
Juice,11
Vehicle registration plate,10
Taco,10
Peach,10
Cocktail,10
Cart,10
Egg (Food),10
Platter,10
Human leg,9
Fire hydrant,9
Coffee cup,9
Potato,9
Crab,8
Football,8
Human beard,8
Teapot,8
Waste container,8
Man,8
Cosmetics,7
Saucer,7
Wheel,7
Tea,7
Window,7
Computer keyboard,7
Fireplace,6
Watch,6
Coffee,6
Guacamole,6
Butterfly,6
Banana,6
Pear,6
Table,6
Balloon,6
Orange,5
Fashion accessory,5
Container,5
Starfish,5
Girl,5
Insect,5
Bee,5
Cantaloupe,4
Pineapple,4
Lemon,4
Broccoli,4
Fish,4
Dolphin,4
Kitchen appliance,4
Plate,4
Bowl,4
Carrot,4
Human ear,4
Cutting board,4
Spoon,3
Box,3
Bathtub,3
Pomegranate,3
Centipede,3
Toothbrush,3
Boat,3
Skull,3
Fork,3
Furniture,3
Bell pepper,3
Shelf,3
Glove,3
Kitchen utensil,3
Parking meter,3
Mixing bowl,3
Mug,3
Wine glass,2
Beehive,2
Cabbage,2
Slow cooker,2
Houseplant,2
Tie,2
Cabinetry,2
Grapefruit,2
Headphones,2
Boot,2
Ladder,2
Scissors,2
Train,2
Auto part,2
Wok,2
Surfboard,2
Skyscraper,2
Horse,2
Rose,2
Flowerpot,2
Tin can,2
Mixer,2
Piano,1
Mushroom,1
Backpack,1
Shirt,1
Tent,1
Refrigerator,1
Weapon,1
Suitcase,1
Pillow,1
Goldfish,1
Bicycle wheel,1
Honeycomb,1
Bidet,1
Scale,1
Tire,1
Baseball glove,1
Bear,1
Common sunflower,1
Mirror,1
Kitchen & dining room table,1
Pumpkin,1
Tap,1
Medical equipment,1
Wine,1
Glasses,1
Banjo,1
Musical instrument,1
Infant bed,1
Traffic sign,1
Dice,1
Common fig,1
Shorts,1
Salt and pepper shakers,1
Street light,1
Desk,1
Kitchen knife,1
Oven,1
Marine invertebrates,1
Tortoise,1
Hat,1
Drum,1
Whisk,1
Tool,1
Snake,1
Doll,1
Belt,1
Bed,1
Earrings,1
Beetle,1
Knife,1
Sea turtle,1
Syringe,1
Oyster,1
Countertop,1
Gas stove,1
Plastic bag,1
